lat,lng,timestamp
52.608,12.3374,2021-10-01 18:15:43.400379000
51.4444,7.0114,2021-10-01 18:29:04.305811000
49.4905,11.1102,2021-10-01 18:29:39.099050000
49.4324,11.052,2021-10-01 19:24:48.031734000
45.8293,15.9793,2021-10-01 19:26:16.725921000
30.2732,-97.7419,2021-10-01 21:17:50.320898000
49.4733,10.6829,2021-10-01 21:19:30.494128000
53.5736,9.9782,2021-10-01 22:36:23.779690000
37.8753,-122.0707,2021-10-01 22:53:18.333939000
52.5203,13.3849,2021-10-01 23:24:31.803710000
49.5985,10.997,2021-10-02 04:24:26.368623000
48.1833,17.0379,2021-10-02 21:51:24.515156000
59.955,10.859,2021-10-03 11:14:43.772728000
60.2763,11.1796,2021-10-03 13:53:35.828705000
59.214,9.523,2021-10-03 21:28:01.847493000
59.8636,10.7961,2021-10-03 21:30:12.197742000
48.1229,11.6024,2021-10-05 08:53:59.817060000
60.7817,10.6185,2021-10-05 12:08:05.997418000
55.6802,12.5892,2021-10-05 12:29:10.436258000
59.9261,11.3534,2021-10-05 12:46:02.583355000
52.5691,13.4075,2021-10-05 13:10:10.569776000
34.0068,-118.256,2021-10-05 14:49:47.294153000
59.9452,10.7559,2021-10-06 10:05:26.518934000
63.3925,10.3929,2021-10-06 10:16:03.267259000
63.409,10.4217,2021-10-06 10:16:43.315717000
45.4031,11.8747,2021-10-06 10:27:56.815175000
59.8162,10.3714,2021-10-06 11:19:57.592622000
63.4277,10.4012,2021-10-06 11:19:59.811077000
63.6019,10.0272,2021-10-06 12:07:43.658354000
60.3963,5.3214,2021-10-06 13:59:21.900213000
-27.4679,153.0325,2021-10-06 14:14:01.230243000
59.3299,10.3513,2021-10-06 16:39:23.339875000
63.4213,10.3468,2021-10-07 10:03:58.826948000
63.424,10.3961,2021-10-07 10:17:16.887319000
-33.0081,-71.5197,2021-10-07 10:21:13.927552000
59.2309,10.9725,2021-10-07 10:33:34.891152000
63.4336,10.383,2021-10-07 10:44:17.508333000
48.2169,16.4997,2021-10-07 10:50:36.451108000
36.5398,32.0012,2021-10-07 15:16:12.995476000
59.2169,9.5782,2021-10-07 17:42:08.341529000
41.8904,12.5126,2021-10-08 14:23:12.795201000
37.6403,-122.0667,2021-10-08 17:00:31.162421000
37.8682,-122.2865,2021-10-09 11:32:34.105955000
40.7828,-73.9745,2021-10-09 15:45:19.267373000
13.7366,100.4995,2021-10-12 09:25:41.254172000
59.5805,10.8493,2021-10-12 10:13:22.239850000
60.3927,5.3132,2021-10-12 15:42:30.436102000
38.9839,-3.9249,2021-10-13 11:55:36.407104000
59.2087,9.6133,2021-10-13 13:01:21.962309000
60.594,10.6196,2021-10-13 15:27:48.449988000
37.8021,-122.433,2021-10-13 20:07:05.215301000
60.3808,5.3515,2021-10-14 13:36:44.349650000
60.3866,6.2056,2021-10-14 13:36:55.362724000
59.7625,10.8277,2021-10-14 13:39:31.479910000
63.4068,10.3919,2021-10-14 14:24:50.186758000
63.29,10.2707,2021-10-14 14:42:23.151141000
59.9313,10.9643,2021-10-14 16:19:04.559907000
59.9312,10.9643,2021-10-15 14:10:27.515504000
60.7902,10.6881,2021-10-15 14:13:55.997545000
33.5792,-7.6133,2021-10-15 14:14:47.969770000
60.5804,11.8883,2021-10-15 15:21:34.684726000
60.1379,11.2041,2021-10-15 15:22:02.874983000
59.6573,10.8034,2021-10-15 15:22:22.111808000
49.585,11.0092,2021-10-15 15:36:06.943258000
59.71,10.8025,2021-10-16 11:09:48.320473000
60.4296,5.1937,2021-10-16 11:47:31.716861000
48.1663,11.5683,2021-10-16 11:47:49.000986000
59.588,11.1782,2021-10-16 11:50:06.630979000
60.9322,6.4393,2021-10-16 12:25:29.607317000
59.0667,9.6833,2021-10-16 13:49:52.440496000
59.1131,9.669,2021-10-16 13:50:14.873467000
59.5731,9.2697,2021-10-16 14:01:31.391424000
